proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-base-0x9e1028f5-2197588-51059175.merkl.json
0xa99DeB1F9317e974022433552b3557d50A729499,0xABc629aAc79Ed9F779b67A52e1362FAAe8a8D160,0xABc629aAc79Ed9F779b67A52e1362FAAe8a8D160,0,active,0.000277,277000000000000,277000000000000
0xb2D6A5654FE7d37DD9BeDeDc405A44cB974fF6BD,0xB8950eb99f45a6060D0ADc547f427E0842b981e1,0xB8950eb99f45a6060D0ADc547f427E0842b981e1,0,closed,0.000277,277000000000000,277000000000000
0xB813501F9df135A0108C8ea3AC27924314463531,0x119F8a224E41CBdd5961Ec8811dda02C1fFA34AB,0x119F8a224E41CBdd5961Ec8811dda02C1fFA34AB,0,closed,0.000275,275000000000000,275000000000000
0x6Cc7c7ae241048BCa75b3356518394ebDb111c61,0x638A22b3F681370A492F621Bbf5e0f54AcA7a10d,0x638A22b3F681370A492F621Bbf5e0f54AcA7a10d,0,closed,0.000265,265000000000000,265000000000000
0x4F4eF5c85adE9e95997bC75A3aefc707B58802AA,0xF637b0aFa921705fa5edfd29A763d0dF1eFd6E4A,0xF637b0aFa921705fa5edfd29A763d0dF1eFd6E4A,0,closed,0.00026,260000000000000,260000000000000
0x41A9e7B3f5419fCcE5eaB2FBce793DA7169fF712,0xf5D0Ed31551661017615C8711e4FbA2Dc59a3868,0xf5D0Ed31551661017615C8711e4FbA2Dc59a3868,0,active,0.000258,258000000000000,258000000000000
0xDf24c7C095fe753b7c3354E1a2FA6dDb25e360c5,0xF80893a886bCD130344618f2Fba31cC4d6a96b80,0xF80893a886bCD130344618f2Fba31cC4d6a96b80,0,active,0.000258,258000000000000,258000000000000
0x13500182bABcee9d7ae9B40d8B9B436308b2b472,0x66a780cff97113CBb49e5Fe4c07bF9eA7699C9D0,0x66a780cff97113CBb49e5Fe4c07bF9eA7699C9D0,0,active,0.000257,257000000000000,257000000000000
0x062Feac43f0e3FF4F6142B4CDC5B71b126A3Ce76,0x70Cc072F6B244aBb8FbF5736bfc45e4979517e92,0x70Cc072F6B244aBb8FbF5736bfc45e4979517e92,0,closed,0.000251,251000000000000,251000000000000
0xC6a823D409E1e034Cce97bF5028eDb6544BaD495,0x3A21Bf6a7140B6ae0dAF26f9C902A8373B09BBa1,0x3A21Bf6a7140B6ae0dAF26f9C902A8373B09BBa1,0,active,0.000251,251000000000000,251000000000000
0xbC2437080204545f6f02535B8263D0f8902397AA,0xDfFDE0f254BEAda034f14383cfA01Cc9EAf959Fc,0xDfFDE0f254BEAda034f14383cfA01Cc9EAf959Fc,0,closed,0.00025,250000000000000,250000000000000
0xd8a201C2Bb3D98BB66F87967cD1AFF0f2DB39478,0x6152ce681832632a79f0408bE9EDadDd81884541,0x6152ce681832632a79f0408bE9EDadDd81884541,0,closed,0.000245,245000000000000,245000000000000
0xb6DCd537e0072f9ec31c849164f0c8309Fc62441,0x8FC4FAa9DD274dc801Ca629234E83183031634ec,0x8FC4FAa9DD274dc801Ca629234E83183031634ec,0,closed,0.000242,242000000000000,242000000000000
0xC1772858D76A2e08bd3392fA87d3794De96922B9,0x07d16dff4F7D1Ff465eC6479c1A2c5487d9AeBb8,0x07d16dff4F7D1Ff465eC6479c1A2c5487d9AeBb8,0,closed,0.000236,236000000000000,236000000000000
0x85de2cE1181334557798783e063B74F02b8c0087,0xd5088d30068befdff086f276Bf1131a01e34A12D,0xd5088d30068befdff086f276Bf1131a01e34A12D,0,closed,0.000232,232000000000000,232000000000000
0x5e473C99a8404DeeB937fca434a6491C9e428100,0x734677B5B0B0fE8e2df8B88AeF762d88830368AB,0x734677B5B0B0fE8e2df8B88AeF762d88830368AB,0,closed,0.000231,231000000000000,231000000000000
0x2059a6E4601F67D3bbc958D887Fd8435b2F991A1,0xae66f023f3bD067f2C58e25b225eDEd462F9c99C,0xae66f023f3bD067f2C58e25b225eDEd462F9c99C,0,closed,0.000226,226000000000000,226000000000000
