proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-optimism-0x7e7d4467-118406276-156654460.merkl.json
0xFBCa2ea6F697897FF3AcD93f5051B4dA54E76F52,0x485333F8b80C3d054b1ada1417a055c3442f3170,0x485333F8b80C3d054b1ada1417a055c3442f3170,0,closed,0.001231,1231000000000000,1231000000000000
0xa8ba2F5c75B7B7E6a70BeB03a6FE48520Dd26eA1,0xe16EB767E92c7048bC720e45E5782BE508fef38E,0xe16EB767E92c7048bC720e45E5782BE508fef38E,0,closed,0.001193,1193000000000000,1193000000000000
0x3F7B51197E8BA616716982D7B5eDF2eDeFD391ce,0x7B8f0B8E09ca522Ad3418fb89B9176f1bc74644c,0x7B8f0B8E09ca522Ad3418fb89B9176f1bc74644c,0,closed,0.001171,1171000000000000,1171000000000000
0x7952be52158F914247C2F1C3c9F8d17c1a85B378,0xc0f0DA36fBDeE49187bA2834aC48d62fD921a5A5,0xc0f0DA36fBDeE49187bA2834aC48d62fD921a5A5,0,closed,0.00117,1170000000000000,1170000000000000
0x762Ca71061ba2DdeB0cbe9c43D1dEF922BE556fb,0x782d139eb24A54F0B55bf96DC0F0bF7a7241240C,0x782d139eb24A54F0B55bf96DC0F0bF7a7241240C,0,closed,0.001135,1135000000000000,1135000000000000
0x7a7eAAbE038E634b4E6f86e79419DDE8f99AE590,0x441e39C498a2d06A9d6631ec7e25F4376a5B0De9,0x441e39C498a2d06A9d6631ec7e25F4376a5B0De9,0,closed,0.00113,1130000000000000,1130000000000000
0xdc45801CC55D9FB14C89E5fB5f1B85A90A8d3EFf,0x8c748aaB61F13446Bbe47d39A37b7AB3758A21Af,0x8c748aaB61F13446Bbe47d39A37b7AB3758A21Af,0,closed,0.001124,1124000000000000,1124000000000000
0xd07dCF04764a2d383AEF9CC1c937c8318d24ebe9,0x8129AB64D6A32aA3369a2B5eDd9e7D795eB0D3a6,0x8129AB64D6A32aA3369a2B5eDd9e7D795eB0D3a6,0,closed,0.001095,1095000000000000,1095000000000000
0xDafd11B9145C2f004aE5a76A5736682FA4A33Efb,0x1A5b023f3b848D26c91B91D06189323CD857BeeE,0x1A5b023f3b848D26c91B91D06189323CD857BeeE,0,active,0.001083,1083000000000000,1083000000000000
0x1700b2Db50B679Fe4630125fe72FBb208000Fbb2,0x478fa4C971a077038B4Fc5C172c3Af5552224ccc,0x478fa4C971a077038B4Fc5C172c3Af5552224ccc,0,closed,0.001082,1082000000000000,1082000000000000
0xd82C316BA3148F86CB5aa02Ef081F2B778ed741f,0x915D72Fd6Cf53c34D6b7C238be60a79d5214C452,0x915D72Fd6Cf53c34D6b7C238be60a79d5214C452,0,closed,0.001079,1079000000000000,1079000000000000
0x15Fcd02001fD67a986AF0115cc591Be13F9D4dC0,0x18EADc1C0659f1e4864580578627427D62b8C275,0x18EADc1C0659f1e4864580578627427D62b8C275,0,closed,0.001073,1073000000000000,1073000000000000
0xd681cB537bd1024152dE8dEb0D8883357062A48c,0x2d8Dd5B7fB0ca098F0A230b41E3c5CADA6F1F165,0x2d8Dd5B7fB0ca098F0A230b41E3c5CADA6F1F165,0,closed,0.001053,1053000000000000,1053000000000000
0xe6CA8C0Efa7159778EB43719172F07E05d37b4fD,0x2BE967A3b2F0B4509a8a608DF638aA1868Fbcfe2,0x2BE967A3b2F0B4509a8a608DF638aA1868Fbcfe2,0,active,0.001002,1002000000000000,1002000000000000
0x36eFdA803611AA49bDd5E41CC445dDB381800558,0xda1d9534BeF3344Fa5be3B644b767b349e7415C7,0xda1d9534BeF3344Fa5be3B644b767b349e7415C7,0,closed,0.000965,965000000000000,965000000000000
0x8Ff81c94e0eC5fEB46BfbB5C2855B7e1a177aA77,0x874A5117DC43Df148ff722a0F88190eb58ef2242,0x874A5117DC43Df148ff722a0F88190eb58ef2242,0,closed,0.000954,954000000000000,954000000000000
0x1d9eA65993071e625ef38006A6a6A7E116Ed1AA0,0xE1225BB0ab19F07312a617373e86a143d87bEB5f,0xE1225BB0ab19F07312a617373e86a143d87bEB5f,0,active,0.000945,945000000000000,945000000000000
0x57AbD81a6e4b37129F9C4a32B109f8A34377f2df,0x3e796a8eed2d57b334796F8356D882827770d7Fd,0x3e796a8eed2d57b334796F8356D882827770d7Fd,0,active,0.000944,944000000000000,944000000000000
0x336A4d639ff1dC5faea42E7ef96F9AE74c29B140,0x28F625d061a8D2786D05Ad4aD5C570C0F10AC80C,0x28F625d061a8D2786D05Ad4aD5C570C0F10AC80C,0,closed,0.000936,936000000000000,936000000000000
0x32AD1E1Ff3B3D3a914214C93e67a14797F662092,0xe7c921513396c507d332235dD4FcB2c0CFF1bb80,0xe7c921513396c507d332235dD4FcB2c0CFF1bb80,0,active,0.000933,933000000000000,933000000000000
0xaA9777589678D22C7A692a7F6FFE5EA5d8C6c357,0x7910788C99EFa33BD3d37A245061588AA32f3Ee6,0x7910788C99EFa33BD3d37A245061588AA32f3Ee6,0,active,0.000933,933000000000000,933000000000000
0x3437874679def9BaC8FDd517F05290F91E89ebC7,0x9DF0EA1d6F4b6f05B6FE804eC5A590D9b6161fCa,0x9DF0EA1d6F4b6f05B6FE804eC5A590D9b6161fCa,0,active,0.000893,893000000000000,893000000000000
0x6BF0127c3687Be96C03D9865E72b673a214b47b3,0x0a6bC3389f4eCA70A1c97e357c689279f12c9460,0x0a6bC3389f4eCA70A1c97e357c689279f12c9460,0,closed,0.000891,891000000000000,891000000000000
0x9b701Fff2F0ff49d4B089F75d38BFcC00b9Ac3d6,0xDF8979ccE6F1534dF0a042543a187aAAfbDcB671,0xDF8979ccE6F1534dF0a042543a187aAAfbDcB671,0,active,0.000857,857000000000000,857000000000000
0x0DB4e0A2433A5cA0A4918FD2Af5aB0E45796FCa3,0xd8b5D5E0Bb31785032138a7C2E063078De81d311,0xd8b5D5E0Bb31785032138a7C2E063078De81d311,0,active,0.000783,783000000000000,783000000000000
0x937380cB733a51C27Df25Ab6242D46a573BA8e41,0x1d483F80A28137558e0Fd652234BF4E0F7E0E76c,0x1d483F80A28137558e0Fd652234BF4E0F7E0E76c,0,closed,0.000755,755000000000000,755000000000000
0xBcFAE1719D1B9cD34Cd85425705b8ffe2bB0FcAE,0x238a46fFd22be95Dddcc51Ec23FAA0774AC85718,0x238a46fFd22be95Dddcc51Ec23FAA0774AC85718,0,closed,0.000746,746000000000000,746000000000000
0x363592AAAaa156A1545da33413A3E3aabEb8ac0B,0xa9D403b3905b7b5c9c345f711A8B9E858aaA4856,0xa9D403b3905b7b5c9c345f711A8B9E858aaA4856,0,active,0.000741,741000000000000,741000000000000
0x7f27C3A1CDC19970f079cbf2E52823d14842c052,0x25659eEfd7caE21566a257420bBcB0C8317Ef94f,0x25659eEfd7caE21566a257420bBcB0C8317Ef94f,0,active,0.000692,692000000000000,692000000000000
0x925b5bac2985D19B9358313d570003ce57e6bC3C,0x6ED7E999C79263Cbe017bD5eDBE55CF50DB43029,0x6ED7E999C79263Cbe017bD5eDBE55CF50DB43029,0,active,0.000671,671000000000000,671000000000000
0x752B9609Fe5453462fb5a42F89cC9e75259D7360,0xfaa1ebe78218ECCeD9d28E14e365030aFD073a3C,0xfaa1ebe78218ECCeD9d28E14e365030aFD073a3C,0,closed,0.000669,669000000000000,669000000000000
0xb3E3b53B6B2207B2Fb7302BAfe35366759880563,0xf6588caD58bAea4bf165721D6FeAfc69845d20bC,0xf6588caD58bAea4bf165721D6FeAfc69845d20bC,0,active,0.000653,653000000000000,653000000000000
0xd590fdb095b7671bAA5CDda1a032d8c8eA7a3103,0x8eDa0BD868EB10604E9f773Edb8FB0cF25C8a3D6,0x8eDa0BD868EB10604E9f773Edb8FB0cF25C8a3D6,0,closed,0.000642,642000000000000,642000000000000
0xab5b87651aa06f647Ad3A78e02e8A47fFe5BDA3a,0xc8D375386EC576a02eca0fe5d47800b768895B7B,0xc8D375386EC576a02eca0fe5d47800b768895B7B,0,active,0.000632,632000000000000,632000000000000
0xF5195188E5654bCdd027b61f36523BD117864b6d,0x60915415D3Cb63A26dC2E3be5804A0f7AAce1Be1,0x60915415D3Cb63A26dC2E3be5804A0f7AAce1Be1,0,closed,0.000628,628000000000000,628000000000000
0xC0Cb0DA9fD11C19f1b98A54d3020890d49Da2157,0x9E63Ed47AAcE35AB34cAf2EED8Ce00a56eDa9762,0x9E63Ed47AAcE35AB34cAf2EED8Ce00a56eDa9762,0,closed,0.000621,621000000000000,621000000000000
0xC7f20a006f3466953bdbB49ADc3CaBe835ffC656,0xc73fCE1fB1696555158Bb23F1d0579C158c9aa60,0xc73fCE1fB1696555158Bb23F1d0579C158c9aa60,0,active,0.000619,619000000000000,619000000000000
0x2ce46eA0f33F5060Ed09121E5eC2c5DfE40C3C46,0x4E5ab0e9dC8756D413043A754EC0F23F28e3eB83,0x4E5ab0e9dC8756D413043A754EC0F23F28e3eB83,0,active,0.000617,617000000000000,617000000000000
0x6385d239e9fD967ea6515407BccbFBa24cDDFbBB,0x1d483F80A28137558e0Fd652234BF4E0F7E0E76c,0x1d483F80A28137558e0Fd652234BF4E0F7E0E76c,0,closed,0.000598,598000000000000,598000000000000
0x1bA4baB1e273A9276CF12CCFb0e562496BC0A1f8,0x5785523D831e155E38e5b94512E62E594e30D97a,0x5785523D831e155E38e5b94512E62E594e30D97a,0,closed,0.000592,592000000000000,592000000000000
0x242e3A3BEa5e53f61E06084aCf12C835e86F124B,0xA6993e8F751aa13268f139d4e112C61F844F4e6a,0xA6993e8F751aa13268f139d4e112C61F844F4e6a,0,active,0.000563,563000000000000,563000000000000
0xFA0dA87C35c7131206aFD0770a9c4714DBe9eD54,0x620365fa6d8E231DFc559F21B1FE0D395B6aa7A8,0x620365fa6d8E231DFc559F21B1FE0D395B6aa7A8,0,active,0.000561,561000000000000,561000000000000
0xFB71148dB0F5ceF17510803Dde95159aB409A215,0xEB4576fE753DAB07635c0Bb6c8f0A355e1Db5d31,0xEB4576fE753DAB07635c0Bb6c8f0A355e1Db5d31,0,active,0.000554,554000000000000,554000000000000
0x9e0142A070B5007df91Dac541952cF31de38a1b3,0x5BbEfACCC1A8E1ECb0d470F941668562eEB46FF0,0x5BbEfACCC1A8E1ECb0d470F941668562eEB46FF0,0,active,0.000483,483000000000000,483000000000000
0xE8020262396c7b7fD2a5BBA488F1F7482143DD2E,0x9B19bb1fbe8978D8A2454cC3b812DBf1341E03B3,0x9B19bb1fbe8978D8A2454cC3b812DBf1341E03B3,0,closed,0.000483,483000000000000,483000000000000
0x44D569B6f2bf00e743106D9Ca16b4822321FAD23,0xE4B637Acad57c7b778B432Ffcb5EFAABbAB45301,0xE4B637Acad57c7b778B432Ffcb5EFAABbAB45301,0,closed,0.000482,482000000000000,482000000000000
0x6454D0d1F7865Bb623c55531a53440579E8c93E5,0x44F2E02aa8d82F9fC41284d1E2Fc1a9B88B4e3fd,0x44F2E02aa8d82F9fC41284d1E2Fc1a9B88B4e3fd,0,active,0.000482,482000000000000,482000000000000
0xb974D29b592b59c11527c8aE9BE3Ab2633818337,0xC64FD71222C9a8112ffd2a0F91CB59248F36F639,0xC64FD71222C9a8112ffd2a0F91CB59248F36F639,0,active,0.000471,471000000000000,471000000000000
0x340BCE61cCA353e41851F796A553E183e46959C9,0x04F5d960bf6c3b68bC81995C40D5BdBCb689BB5A,0x04F5d960bf6c3b68bC81995C40D5BdBCb689BB5A,0,closed,0.000464,464000000000000,464000000000000
0x77e56E43ba1d87ABf6872CE0DA262e64b53eA333,0x08aB0B8Ef4197d69f8FB4A68901cd2C3F63a39FF,0x08aB0B8Ef4197d69f8FB4A68901cd2C3F63a39FF,0,closed,0.000449,449000000000000,449000000000000
0x7d9316eF3162FEea94074Bb0a803De6F716D56da,0x105F56c0E9Bf0135F10351C138d398E16a7FAF76,0x105F56c0E9Bf0135F10351C138d398E16a7FAF76,0,closed,0.000448,448000000000000,448000000000000
0xbF8907A27374583671b7103b30aA9D32aDaffc15,0x2c2BdAA1190bD4a0ac70EE9c4499CFD8686aeb24,0x2c2BdAA1190bD4a0ac70EE9c4499CFD8686aeb24,0,active,0.000443,443000000000000,443000000000000
0x29408136e8B5b3a3d4F45FC3B01BF49a12c470e1,0x30F682b2b7a0e8C72714C0Ca4AD28B40ccEF3fDF,0x30F682b2b7a0e8C72714C0Ca4AD28B40ccEF3fDF,0,closed,0.00044,440000000000000,440000000000000
0xcE93bbcd983a94F8b214513b0Da007CD6BcD597f,0x294090A943Fa61F02E43293FDe8bB75108067ee6,0x294090A943Fa61F02E43293FDe8bB75108067ee6,0,closed,0.000436,436000000000000,436000000000000
0x2D781D5385f50F04eB2C11378EB2e769A9997794,0x79AD8bB985180876BCd4e281B6aF0bE18D5ca242,0x79AD8bB985180876BCd4e281B6aF0bE18D5ca242,0,closed,0.000429,429000000000000,429000000000000
0x5Ba7047fe56C17EC6c4c990b96B9737668f9d4Af,0x4A5dA3Bd20915F61636E3Ed3146155377cb694eb,0x4A5dA3Bd20915F61636E3Ed3146155377cb694eb,0,active,0.000429,429000000000000,429000000000000
0x01B90d93c3ed2a7a35BAbe8D09aDBDbE9a47c566,0x0EEef3f419b22a9aCF7a4Feaf622c77bdF744247,0x0EEef3f419b22a9aCF7a4Feaf622c77bdF744247,0,closed,0.000428,428000000000000,428000000000000
0x747821aB61849fd0a1799bEfcF9ccCfdB7465D19,0x3Ad97F37724Cbd226D205Ba63Ab64Bd04182fBbB,0x3Ad97F37724Cbd226D205Ba63Ab64Bd04182fBbB,0,active,0.000422,422000000000000,422000000000000
0x33555919e61B94bB5918903780ceD430F87BCCeC,0x3910E9A782F0903Dc856395FE9bd86C98458537d,0x3910E9A782F0903Dc856395FE9bd86C98458537d,0,closed,0.000397,397000000000000,397000000000000
0x3d42E78Df0D80Ad2007A4fa7007519056885A902,0x1d118F0d480C54A94DAb4eAB85D3165D7df1974F,0x1d118F0d480C54A94DAb4eAB85D3165D7df1974F,0,closed,0.000393,393000000000000,393000000000000
0xDcfe1968b0849994a77E5947FaAFE6680A75C895,0xdc5B30A7e920963efe010b8b86Fb690AFBBc2195,0xdc5B30A7e920963efe010b8b86Fb690AFBBc2195,0,active,0.000392,392000000000000,392000000000000
0xBb65F132F5eD1a83928A8167588B79e0a124400c,0x2444F24d9e05d406c90400F9e1b9A7FC4C95FE31,0x2444F24d9e05d406c90400F9e1b9A7FC4C95FE31,0,active,0.000372,372000000000000,372000000000000
0x75256c241a4Db6f242c2E212cC0100a2844501c1,0x293E5Bc2a68027635A84DF9966Ea2f487906F5F3,0x293E5Bc2a68027635A84DF9966Ea2f487906F5F3,0,closed,0.000365,365000000000000,365000000000000
0x5719d1C5E2F2F61e2a658b4C262610Ce3702Cb51,0x39F2CeDE728eF6630904Fe121bAa69C3F87902e0,0x39F2CeDE728eF6630904Fe121bAa69C3F87902e0,0,active,0.000354,354000000000000,354000000000000
0x3d2b9B267455Cd29F02c5B78b99bDaa3A592AbdA,0x67adfab056EDc1a03602139b8AC36a06fC62F1Bb,0x67adfab056EDc1a03602139b8AC36a06fC62F1Bb,0,closed,0.000349,349000000000000,349000000000000
0x71aE2cc5E703Ba4bC0E38F272945914C6610113F,0x5Cb623130BA7214C37A921749F177cA3c50b4C6d,0x5Cb623130BA7214C37A921749F177cA3c50b4C6d,0,closed,0.000347,347000000000000,347000000000000
0x39E269113d603B3EEf207997273b968549165f4B,0x57b977465b9e8E39BFa54e0b4bC0A66d7099684C,0x57b977465b9e8E39BFa54e0b4bC0A66d7099684C,0,active,0.000344,344000000000000,344000000000000
0x469632B310dE0d3455a483B123cC06e73Ef141B3,0xbDec7287C08C0c153F9843C4796D59e3BF7178E4,0xbDec7287C08C0c153F9843C4796D59e3BF7178E4,0,closed,0.000332,332000000000000,332000000000000
0xebcBA4ea41F34Fd84226AE0A0c2EbFd08485bE59,0xF8d203e3FB0F36a3BaEE5413C270eaAB747DECE4,0xF8d203e3FB0F36a3BaEE5413C270eaAB747DECE4,0,closed,0.000322,322000000000000,322000000000000
0x62EA7bc7f2984607e7B1b8B8b92ed039560b00d2,0xe753aA24818f85e14962845b0A8ca46e4c0000d6,0xe753aA24818f85e14962845b0A8ca46e4c0000d6,0,active,0.000315,315000000000000,315000000000000
0x2F1fE39E69869e3ae20c28402E4A67CCF13e1D72,0x78F0d9A770B141Fd5886e245BD47026814963834,0x78F0d9A770B141Fd5886e245BD47026814963834,0,closed,0.000311,311000000000000,311000000000000
0x474411a9d053c85c298362Fe1Ea28C2fF465db0A,0x162521663d6D8707d381D7af591672BA4D02aE22,0x162521663d6D8707d381D7af591672BA4D02aE22,0,active,0.000311,311000000000000,311000000000000
0x48434e13fd8f752134EcE4b229EE653CAEADE3FD,0x7f501EB08406e14488B58a92571fC5F46b4eE39d,0x7f501EB08406e14488B58a92571fC5F46b4eE39d,0,active,0.000311,311000000000000,311000000000000
0x6CCB3234bC6D7FcB9F7CD14eF7Af28ce84CAf3C6,0xbEFb909532F24e97cd18D617BCd45Cc9dD52e0bb,0xbEFb909532F24e97cd18D617BCd45Cc9dD52e0bb,0,active,0.000311,311000000000000,311000000000000
